Name_source,Name_English,Name_Indo,Name_Other,Manager,Investor_1,Investor_2,Sources
Kawasan Industri dan Pergudangan Taman Tekno BSD,,Kawasan Industri dan Pergudangan Taman Tekno BSD,,PT. Bumi Serpong Damai,,,"https://www.youtube.com/watch?v=b7Dv3ynmrgY&ab_channel=GaleriAslim
(Archived link, 11/27/23) https://web.archive.org/web/20231127172956/https://kemenperin.go.id/kawasan
https://www.sinarmasland.com/id/development/industrial/taman-tekno-bsd-city
https://bsdcity.com/about"
Kawasan Industri Sei Mangkei (KEK),,Kawasan Industri Sei Mangkei,,PT. Kawasan Industri Nusantara,,,"https://en.antaranews.com/news/185126/pltbg-power-plant-using-palm-oil-liquid-waste-to-generate-electricity
https://dinsights.katadata.co.id/read/2021/07/26/sei-mangkei-solar-farm-now-89-complete
https://seimangkeisez.com/utilitas-detail.php?id=UTI03
(Archived link, 11/27/23) https://web.archive.org/web/20231127172956/https://kemenperin.go.id/kawasan
https://www.seimangkeisez.com/en/#popup
(Archived link, 6/2/23) https://web.archive.org/web/20230602193229/https://kek.go.id/kawasan/KEK-Sei-Mangkei
https://medan.tribunnews.com/2023/02/14/pengembangan-kek-sei-mangkei-gagal-kini-justru-merugi-karena-overstock-listrik
https://www.gem.wiki/PT_Harkat_Sejahtera_power_station"
Medanstar Industrial Estate (KIM Star Industrial Estate),Medanstar Industrial Estate ,KIM Star Industrial Estate,,PT. Tamoratama Prakarsa,PT Sagami Indonesia,,"https://www.youtube.com/watch?v=6almyalrwl8&ab_channel=PROFILEART
https://kfmap.asia/industrial/kim-star-industrial-estate-13344
(Archived link, 11/27/23) https://web.archive.org/web/20231127172956/https://kemenperin.go.id/kawasan
https://iea.blob.core.windows.net/assets/5336c868-2e18-4a2a-8584-54edecadb9a0/IEAAPCW2021_Presentation3_PakGigih.pdf 
https://madeinindonesia.com/images/minisite/itpc_uae/MEDAN%20INDUSTRIAL%20ESTATE.pdf "
Kawasan Industri Medan (KIM),,Kawasan Industri Medan (KIM),,PT. Kawasan Industri Medan (Persero),,,"https://madeinindonesia.com/images/minisite/itpc_uae/MEDAN%20INDUSTRIAL%20ESTATE.pdf
https://directorsdirectory.com/medan-industrial-estate/
https://danareksa.co.id/en/service/industrial-estate/pt-kawasan-industri-medan
(Archived link, 11/27/23) https://web.archive.org/web/20231127172956/https://kemenperin.go.id/kawasan
http://www.kim.co.id
https://kim.co.id/laman/mitra-industri/ 
https://business-indonesia.org/files/estates/zXVjPj3KtN9rno0tUOqg7jmrfYpliiDVDmmqB9pW.pdf
https://id.wikipedia.org/wiki/Kawasan_Industri_Medan
https://sumatra.bisnis.com/read/20230608/534/1663601/pt-kawasan-industri-medan-gencarkan-pembangunan-infrastruktur-dan-layanan-air-bersih
https://www.gem.wiki/Medan_Steel_Mill_power_station
https://www.google.com/maps/place/P.T.+Growth+Sumatra+Industry/@3.6668203,98.6663203,17z/data=!4m6!3m5!1s0x30313284691faea7:0xdf8f34be434e10f3!8m2!3d3.6670666!4d98.6668567!16s%2Fg%2F1hm32g110?entry=ttu"
Ketapang Ecology and Agriculture Forestry Industrial Park (Keafip),Ketapang Ecology and Agriculture Forestry Industrial Park (Keafip),,,PT. Ketapang Ecology and Agriculture Forestery,,,"https://govt.chinadaily.com.cn/s/201905/14/WS5cdb5dc2498e079e68020df9/suzhou-invested-industrial-park-in-indonesia-up-and-running.html
(Broken) https://iniborneo-com.translate.goog/2020/03/04/kip-group-pastikan-pasien-terduga-infeksi-virus-adalah-karyawan-mereka/?_x_tr_sl=id&_x_tr_tl=en&_x_tr_hl=en&_x_tr_pto=sc
https://www.shine.cn/biz/economy/1811054647/ 
https://www.youtube.com/watch?v=87pNjvmF8SM&ab_channel=LindungHotmaHasiholanMalau
https://www.suarapemredkalbar.com/read/ketapang/01042020/warga-sungai-awan-kanan-ancam-tutup-pt-jzd-bau-limbah-hingga-radius-3-kilometer
https://www.liputan6.com/bisnis/read/3043848/pasokan-listrik-banyak-pln-tantang-investor-masuk-ke-kalimantan
https://www.mongabay.co.id/2018/09/04/ada-titik-api-di-sekitar-kanal-pt-mpk-klhk-didesak-bertindak-bagian-4/
https://directorsdirectory.com/ketapang-industrial-park/
https://www.thejakartapost.com/news/2018/07/13/ketapang-police-chief-dismissed-after-picture-indicating-collaboration-with-chinese-police-goes-viral.html
https://mutiaraindotv.com/demo-front-perjuangan-rakyat-ketapang-dan-masyarakat-ketapang-di-perusahaan-ketapang-ecology-and-agriculture-forestry/
https://ketapangnews.com/2017/07/investor-tiongkok-buka-kawasan-industrie/
(Archived link, 11/27/23) https://web.archive.org/web/20231127172956/https://kemenperin.go.id/kawasan
https://www.globalwood.org/company/mgodetail.asp?id=27358###
(Archived link, 10/20/20) https://web.archive.org/web/20201020082525/https://politap.ac.id/politap-dan-bsm-new-material-siap-rumuskan-standar-kompetensi-magang/
https://kalbar.antaranews.com/berita/352455/bupati-ketapang-ajak-masyarakat-tanam-ubi"
Kawasan Industri Ketapang Bangun Sarana (KBS),,Kawasan Industri Ketapang Bangun Sarana (KBS),,PT. Ketapang Bangun Sarana,PT Borneo Alumindo Prima ,,"https://kargoku.id/kawasan-industri-terpadu-ketapang/
https://www.youtube.com/watch?v=QX6b1yiXhSM
https://ecc.co.id/company/site/view/2038
https://iopscience.iop.org/article/10.1088/1755-1315/1109/1/012037/pdf
(Archived link, 11/27/23) https://web.archive.org/web/20231127172956/https://kemenperin.go.id/kawasan
https://regionalinvestment.bkpm.go.id/pir/peluang-investasi/detail/?id=1134
https://perusahaan.net/detail/wVy0w/Borneo-Alumindo-Prima/
https://pontianak.tribunnews.com/2016/12/28/inilah-penjelasan-bpmptsp-kalbar-terkait-kawasan-industri-ketapang
https://www.youtube.com/watch?v=isp-IudXlx8
(Archived link, 6/12/2024) https://web.archive.org/web/20240612174321/https://www.sinarrayanews.com/diduga-keras-bisa-merugikan-negara-milyaran-rupiah-status-izinnya-belum-pemulihan-pasca-dicabut-pt-bmp-dan-cv-kqp-jual-tanah-urug-ke-pt-kbs/ 
https://www.oborkeadilan.com/2018/12/pembangunan-proyek-kawasan-industri-dan.html "
Kawasan Industri Surya Borneo,,Kawasan Industri Surya Borneo,,PT. Surya Borneo Industri,,,"https://mmc-kotawaringinbaratkab-go-id.translate.goog/berita/pemerintah-provinsi-kalteng-kunjungi-kawasan-industri-surya-borneo-di-kobar?_x_tr_sl=id&_x_tr_tl=en&_x_tr_hl=en&_x_tr_pto=sc
https://mmc.kotawaringinbaratkab.go.id/berita/jadi-bagian-rencana-kawasan-ekonomi-eksklusif-tim-pmo-kemenperin-ri-akan-kunjungi-ksbi-tempenek
https://industri.kontan.co.id/news/permintaan-produk-hilir-sawit-meningkat-produsen-cpo-gencar-ekspansi
https://www.borneonews.co.id/berita/313153-keberadaan-pt-cbut-tbk-di-berikat-pt-sbi-ini-tujuan-pemerintah-menetapkan-kawasan-tersebut
(Archived link, 11/27/23) https://web.archive.org/web/20231127172956/https://kemenperin.go.id/kawasan
https://www.borneonews.co.id/berita/116849-power-plant-milik-pt-surya-borneo-industri-mampu-pasok-energi-listrik-untuk-kawasan-industri
(Archived link, 5/18/2024) https://web.archive.org/web/20240518022508/https://www.energytransitionpartnership.org/uploads/2022/09/The-Electricity-Infrastructure-Planning-and-Investment-Needs-to-Support-Energy-Transition.pdf
https://www.google.com/maps/place/2+x7.5+MW+Power+Plant/@-2.7109319,111.7504616,1364m/data=!3m1!1e3!4m14!1m7!3m6!1s0x2e08f15006daf20b:0x8e42c265405e3bf9!2sPT.+Surya+Borneo+Industri!8m2!3d-2.7051519!4d111.7512684!16s%2Fg%2F11h7fs_ysn!3m5!1s0x2e08f15d6a39aa15:0xbf43ba40743d0bc2!8m2!3d-2.7126577!4d111.752523!16s%2Fg%2F11j8_h4bpp?entry=ttu"
Kawasan Industri Batulicin / Setangga SEZ,Setangga SEZ,Kawasan Industri Batulicin,,PT. Jhonlin Agro Raya Tbk,,,"https://indonesia.go.id/kategori/editorial/3432/prospek-cerah-industri-di-atas-batulicin
https://www.researchgate.net/publication/338592175_Permasalahan_Pertanahan_Kawasan_Industri_Batulicin_Perspektif_Perencanaan_Pembangunan
https://kalsel.antaranews.com/berita/341569/pemda-aceh-tertarik-pengelolaan-kawasan-industri-batulicin
https://kppip.go.id/en/national-strategic-projects/s-priority-industry-zone-development-special-economic-zone/batulicin-industrial-zone-south-kalimantan/ 
https://indonesia.go.id/kategori/editorial/3432/prospek-cerah-industri-di-atas-batulicin
(Archived link, 11/27/23) https://web.archive.org/web/20231127172956/https://kemenperin.go.id/kawasan
https://voi.id/en/economy/156383 
https://kalsel.antaranews.com/berita/397269/pemkab-tanah-bumbu-optimalkan-potensi-kek-setangga
https://news.metal.com/newscontent/101702125/construction-of-the-south-kalimantan-nickel-smelter-will-begin-in-april-2022
https://swa.co.id/swa/business-strategy/investasi-anugerah-barokah-bangun-smelter-nikel-rp6-triliun-dan-serap-1-200-pekerja
https://www.kanalkalimantan.com/tambahan-3-kapasitor-75-mvar-di-batulicin-pln-perkuat-keandalan-listrik-layani-industri/
https://banjarmasin.apahabar.com/post/jhonlin-group-dukung-pembangunan-sutt-150-kv-batulicin-tarjun-l7cr4686"
Kawasan Industri Batuta / Batuta Chemical Industrial Park (BCIP),Batuta Chemical Industrial Park (BCIP),Kawasan Industri Batuta,,PT. Batuta Chemical Industrial Park,,,"https://kalimantan.bisnis.com/read/20210915/408/1442917/pemkab-kutim-evaluasi-kelembagaan-kek-mbtk
(Archived link, 4/19/22) https://web.archive.org/web/20220419233603/https://updatekaltim.com/eksklusif-pt-mbs-bongkar-habis-carut-marut-kek-maloy/
(Archived link, 4/19/22) https://web.archive.org/web/20220419233603/https://updatekaltim.com/eksklusif-pt-mbs-bongkar-habis-carut-marut-kek-maloy/
https://mediakaltim.com/pabrik-pengolah-batu-bara-jadi-metanol-segera-dibangun-di-kutim/
(Broken) https://www.argusmedia.com/en/news/2326249-indonesia-to-build-second-coal-gasification-plant
https://www.batutakimiaperdana.com/
(Archived link, 11/27/23) https://web.archive.org/web/20231127172956/https://kemenperin.go.id/kawasan
https://bcip.co.id/about
https://dinaslh.kaltimprov.go.id/pemeriksaan-ukl-upl-pt-bumi-energi-nabati/"
KEK Maloy Batuta Trans Kalimantan,,KEK Maloy Batuta Trans Kalimantan,,PT. Melati Bhakti Satya (MBS),,,"https://pro.kutaitimurkab.go.id/2022/12/12/pemkab-kutim-dukung-pembenahan-kek-mbtk-strategi-baru-fokus-pada-dukungan-program-sudah-berjalan/
(Archived link, 4/19/22) https://web.archive.org/web/20220701000000*/https://updatekaltim.com/eksklusif-pt-mbs-bongkar-habis-carut-marut-kek-maloy/
https://kalimantan.bisnis.com/read/20210915/408/1442917/pemkab-kutim-evaluasi-kelembagaan-kek-mbtk
https://www.jejakkhatulistiwa.co.id/empat-sektor-penunjang-kek-mbtk-belum-siap-beroperasi/
https://www.kompas.com/properti/read/2023/09/06/153101221/kek-mbtk-di-kaltim-catatkan-realisasi-investasi-terendah
(Broken) https://www.kaltimprov.go.id/berita/pemprov-rencanakan-mbtk-jadi-bumd 
https://kalimantan.bisnis.com/read/20230731/408/1679916/masuk-investor-baru-kek-mbtk-batal-dicabut-statusnya 
(Archived link, 6/2/23) https://web.archive.org/web/20230602184417/https://kek.go.id/kawasan/KEK-Maloy-Batuta-Trans-Kalimantan
https://kekmbtk.co.id/
(Archived link, 6/15/22) https://web.archive.org/web/20220615063241/https://dpmptsp.kutaitimurkab.go.id/kek-mbtk/
https://indagkop.kaltimprov.go.id/index.php/halaman/detail/kek-mbtk
https://docplayer.net/56690945-Maloy-industrial-estate-and-international-port.html "
Kawasan Industri Kariangau,,Kawasan Industri Kariangau,,Perusda Melati Bhakti Satya,,,"https://kalimantan.bisnis.com/read/20220629/408/1549247/kembangkan-kawasan-industri-kariangau-perumda-balikpapan-gandeng-perusahaan-pelat-merah
(Archived link, 12/5/23) https://web.archive.org/web/20231205194639/https://www.kaltimprov.go.id/halaman/kawasan-industri-kariangau
https://bontangpost.id/kawasan-industri-dekat-ikn-perlu-perhatian/
http://dkumkmp.balikpapan.go.id/content/59/kawasan-industri-kariangau
(Archived link, 11/27/23) https://web.archive.org/web/20231127172956/https://kemenperin.go.id/kawasan
(Archived link, 11/26/22) https://web.archive.org/web/20221126082450/https://investasi.balikpapan.go.id/halaman/detail/kawasan-industri-kariangau
(Archived link, 12/8/23) https://web.archive.org/web/20231208034230/https://www.kaltimprov.go.id/berita/industri-smelter-dibangun-di-kariangau-mulai-produksi-tahun-2025-wagub-utamakan-penduduk-lokal
https://kaltim.akurasi.id/pariwara/sambut-perwakilan-kibing-group-dpmptsp-balikpapan-bahas-minat-investasi-di-kariangau/
(Archived link, 5/18/2024) https://web.archive.org/web/20240518022508/https://www.energytransitionpartnership.org/uploads/2022/09/The-Electricity-Infrastructure-Planning-and-Investment-Needs-to-Support-Energy-Transition.pdf
https://info.kariangauterminal.co.id/en/kawasan-pendukung/
https://market.bisnis.com/read/20231204/192/1720677/bayan-byan-akuisisi-kariangau-power-milik-orang-terkaya-ri"
Kaltim Industrial Estate,Kaltim Industrial Estate,,,PT. Kaltim Industrial Estate,,,"https://kalimantan.bisnis.com/read/20211212/407/1476708/44-hektare-di-kawasan-industri-masih-tersedia-bagi-calon-investor-di-kie-bontang
https://oss.go.id/informasi/lokasi-usaha?tab=ki&page=1
https://id.wikipedia.org/wiki/Kaltim_Industrial_Estate
https://directorsdirectory.com/kaltim-industrial-estate/
(Archived link, 11/27/23) https://web.archive.org/web/20231127172956/https://kemenperin.go.id/kawasan
https://kie.co.id/
(Archived link, 5/18/2024) https://web.archive.org/web/20240518022508/https://www.energytransitionpartnership.org/uploads/2022/09/The-Electricity-Infrastructure-Planning-and-Investment-Needs-to-Support-Energy-Transition.pdf
https://kaltimdayamandiri.co.id/proses-produksi/alat/
https://www.linkedin.com/company/kaltimdayamandiri/?originalSubdomain=id
"
Kawasan Industri ATI (Anugrah Tambang Industri),,Kawasan Industri ATI,Kawasan Industri Anugrah Tambang Industri,PT. Anugrah Tambang Indonesia,SilkRoad Nickel,Vale,"https://www.tropongdirgantara.id/sambangi-pt-anugrah-tambang-industri-ati-gubernur-sulteng-dengarkan-feasibility-study-perusahaan-untuk-bangun-kek/
https://dutainfo.com/2022/01/dprd-morowali-gelar-rapat-dengar-pendapat-terkait-masalah-pt-mega-nur-dan-pt-anugrah-tambang-industri/
https://morowalikab.go.id/home/read/peletakan-batu-pertama-pembangunan-mess-pt-ati-bupati-morowali-harapkan-sinergitas-masyarakat-sambalagi-dengan-pihak-perusahaan
(Archived link, 12/3/23) https://web.archive.org/web/20231203105256/https://radarsulteng.id/pt-anugrah-tambang-industri-kerjasama-dengan-perusda/
(Broken) https://www.nickelmagazine.com/2022/04/smelter-industrial-area.html?m=1
https://oss.go.id/informasi/lokasi-usaha?tab=ki&page=1
https://edisiindonesia.id/2023/01/17/masyarakat-sambalagi-minta-pt-anugrah-tambang-industri-hentikan-aktivitas/
https://palu.tribunnews.com/2023/02/11/olah-nikel-rendah-karbon-pt-vale-perusahaan-tambang-pertama-pakai-green-smelter-di-morowali
https://www.marketscreener.com/quote/stock/SILKROAD-NICKEL-LTD-103505350/news/Silkroad-Nickel-Ltd-completed-the-acquisition-of-99-stake-in-PT-Anugrah-Tambang-Smelter-from-PT-Bi-39639167/
https://media.alkhairaat.id/proyek-pt-vale-blok-bahodopi-dimulai/
https://wikidpr.org/rangkuman/Komisi7-Pengawasan-RDP-Dirjen-ILMATE-KPAII-Kemenperin-IMIP-IWIP-ATI-RBA-Progres-Pembangunan-Kawasan-Industri
https://kumparan.com/kumparanbisnis/pertama-di-ri-smelter-rkef-vale-indonesia-di-morowali-pakai-pltgu-dari-lng-1zoCnjRirGg/full
(Archived link, 11/27/23) https://web.archive.org/web/20231127172956/https://kemenperin.go.id/kawasan
https://www.silkroadnickel.com/"
Kawasan Industri VDNI / Kawasan Industri Morosi / Delong Industrial Park,Delong Industrial Park,Kawasan Industri VDNI ,Kawasan Industri Morosi,PT. Virtue Dragon Nickel Industrial Park,Jiangsu Delong Nickel Industry,,"https://www.spglobal.com/marketintelligence/en/news-insights/latest-news-headlines/violent-protests-paralyze-china-backed-nickel-smelter-in-indonesia-8211-reports-61772018
https://sultra-antaranews-com.translate.goog/berita/403557/kawasan-industri-smelter-vdni-dan-oss?_x_tr_sl=id&_x_tr_tl=en&_x_tr_hl=en&_x_tr_pto=sc 
https://www.jakartadaily.id/market-finance/pr-1621712481/obsidian-stainless-steel-to-complete-npi-smelter-expansion-in-sulawesi-next-year
https://ejatlas.org/conflict/delong-nickel-industrial-area-indonesia
https://news.metal.com/newscontent/101240987/xiamen-xiangyu-stainless-steel-smelting-project-in-indonesia-has-been-put-into-production-by-
https://www.uxolo.com/news/30150/xiamen-xiangyu-steel-plant-closes-eca-covered-loan
https://pulitzercenter.org/stories/nickel-profits-flurry-slurry
https://asiatoday.id/read/kawasan-industri-nikel-morosi-bergolak-2-kelompok-buruh-pt-vdni-dan-pt-oss-bentrok
https://www.reuters.com/article/us-indonesia-nickel-protests/equipment-torched-as-worker-protest-paralyses-indonesia-nickel-plant-idUSKBN28Q0WR
https://oss.co.id/
https://news.metal.com/newscontent/101536262/smm-nickel-journey-to-jiangsu---the-sixth-station-jiangsu-delong-nickel-co-ltd
https://www.gem.wiki/Delong_Nickel_Phase_II_power_station
https://www.gem.wiki/Delong_Nickel_Phase_I_power_station
"
Indonesia Morowali Industrial Park (IMIP),Indonesia Morowali Industrial Park,,,PT. Indonesia Morowali Industrial Park,Tsingshan,,"https://ejatlas.org/conflict/indonesia-morowali-industrial-park-imip1
https://en.wikipedia.org/wiki/Morowali_Industrial_Park#cite_note-15
https://www.gem.wiki/Sulawesi_Mining_power_station
https://www.gem.wiki/Sulawesi_Labota_power_station
(Broken) https://www.nickelmagazine.com/2022/04/smelter-industrial-area.html?m=1
https://www.rosalux.de/fileadmin/images/publikationen/Studien/Fast_and_Furious_for_Future.pdf
https://www.rosalux.de/en/publication/id/44155/fast-and-furious-for-future
https://asiatimes.com/2023/01/chinas-labor-practices-under-hot-fire-in-indonesia/
https://www.reuters.com/article/us-indonesia-nickel-environment-idUSKBN26N1VZ
https://www.scmp.com/week-asia/people/article/3212109/indonesias-nickel-sector-under-scrutiny-chinese-workers-allege-inhumane-working-conditions""
https://thepeoplesmap.net/project/indonesia-morowali-industrial-park-imip/
https://chinadialogue.net/en/energy/chinas-no-overseas-coal-power-pledge-15-projects-cancelled/
(Archived link, 11/27/23) https://web.archive.org/web/20231127172956/https://kemenperin.go.id/kawasan
(Archived link, 11/28/23) https://web.archive.org/web/20231128184118/https://business-indonesia.org/data-estate
(Archived link, 5/29/24) https://web.archive.org/web/20240529165334/https://imip.co.id/
https://www.reuters.com/article/china-gem-nickel-indonesia-idUKL1N3780PR/
https://en.antaranews.com/news/285885/government-devising-development-plan-for-morowali-industrial-area
https://industri.kontan.co.id/news/tak-lagi-tambah-tenant-ini-penjelasan-ceo-indonesia-morowali-industrial-park-imip
https://indonesiabusinesspost.com/risks-opportunities/sesna-group-open-collaboration-to-develop-200-mw-solar-farm-for-nickel-mining-industry/
(Archived link, 5/18/2024) https://web.archive.org/web/20240518022508/https://www.energytransitionpartnership.org/uploads/2022/09/The-Electricity-Infrastructure-Planning-and-Investment-Needs-to-Support-Energy-Transition.pdf"
Kawasan Industri PT. Stardust Investment Estate / Delong Nickel Phase III,Kawasan Industri PT. Stardust Investment Estate,Delong Nickel Phase III,,PT. Stardust Estate Investment,Jiangsu Delong Nickel Industry,,"https://www.youtube.com/watch?v=cNMwbcycUY8&ab_channel=DPMPTSPKabupatenMorowaliUtara
(Broken) https://dpmptsp.sultengprov.go.id/kunjungan-gubernur-sulawesi-tengah-ke-kawasan-industri-pt-stardust-estate-investment-di-kabupaten-morowali-utara/
(Archived link, 7/4/22) https://web.archive.org/web/20220704212302/https://ytm.or.id/ytm-desak-pt-stardust-dan-gunbuster-segera-memenuhi-tuntutan-masyarakat-tanauge/
(Broken) https://www.nickelmagazine.com/2022/04/smelter-industrial-area.html?m=1
https://sulteng.antaranews.com/berita/263325/pt-sei-di-morut-sulteng-segera-miliki-investor-baru-untuk-pengolahan-nikel
https://projectmultatuli.org/kami-dibiarkan-berkelahi-petani-morowali-utara-terimpit-perkebunan-sawit-dan-industri-nikel/
https://media.alkhairaat.id/walhi-sulteng-beberkan-hasil-investigasi-dampak-aktivitas-perusahaan-nikel-morut/
(Broken) http://m.ccidii.com/industrytrends/20230329/4525.html
https://www.gem.wiki/Delong_Nickel_Phase_III_power_station
(Broken) https://benua.id/operasi-pltu-captive-di-sulawesi-merusak/
https://www.inews.id/finance/bisnis/dukung-hilirisasi-nikel-hillcon-bangun-pelabuhan-di-kawasan-industri-sei
https://www.puda-en.com/news/indonesia-delong-phase-iii-gni-nickel-iron-pro-53701290.html
(Archived link, 11/27/23) https://web.archive.org/web/20231127172956/https://kemenperin.go.id/kawasan
https://jatam.org/id/lengkap.php?slug=arogansi-pt-gni-dan-jejaring-kepentingan-elit-politik-di-balik-peristiwa-bentrokan-tki-dan-tka-di-morowali-utara"
Kawasan Industri Palu / KEK Palu,,Kawasan Industri Palu,KEK Palu,"PT. Bangun Palu Sulawesi Tengah, PT. STM Tunggal Jaya",Al Bader Ventures,China First Heavy Industries,"https://www.youtube.com/watch?v=nMJEgkQVlso&ab_channel=SpecialEconomicZonePalu
https://palu.tribunnews.com/2022/06/29/pt-bpst-minta-27-tenant-segera-realisasikan-investasinya-di-kek-palu
https://palu.tribunnews.com/2022/05/09/neraca-april-2022-pt-bangun-palu-sulawesi-tengah-setahun-tak-ada-pembukuan-transaksi
https://ekonomi.bisnis.com/read/20220321/257/1513068/kawasan-industri-palu-bakal-direvitalisasi-sejak-kena-gempa-2018
https://oss.go.id/informasi/lokasi-usaha?tab=kek&page=2 
https://kppip.go.id/en/national-strategic-projects/s-priority-industry-zone-development-special-economic-zone/palu-tourism-area-central-sulawesi/ 
https://indonesia.go.id/kategori/feature/2831/menarik-tenant-ke-kek-palu?lang=1 
https://www.kompas.com/properti/read/2022/02/17/163000221/investor-ogah-masuk-karena-jalan-menuju-kek-palu-buruk 
https://www.researchgate.net/publication/325485117_Promotion_Strategy_By_Palu_City_Government_To_Pulling_Investors_Interest_In_Palu_Special_Economic_Zone 
https://www.youtube.com/watch?v=rR30qB0g7EI 
https://palu.tribunnews.com/2023/06/02/8-perusahaan-teken-mou-bangun-industri-di-kawasan-kek-kota-palu
(Archived link, 11/27/23) https://web.archive.org/web/20231127172956/https://kemenperin.go.id/kawasan
(Archived link, 9/30/23) https://web.archive.org/web/20230930102235/https://kek.go.id/kawasan/KEK-Palu
https://media.alkhairaat.id/5-perusahaan-teken-mou-berinvestasi-di-kek-palu/
https://industri.kontan.co.id/news/trinitan-metals-and-minerals-pure-mulai-pembangunan-smelter-nikel-di-kek-palu
https://channelsulawesi.id/2023/10/09/pemkot-palu-akui-masih-temui-hambatan-dalam-pengembangan-kek-palu/
https://sulteng.antaranews.com/berita/297483/pln-komitmen-bantu-hilirisasi-industri-dan-pembangunan-kek-di-palu 
https://industri.kontan.co.id/news/pln-bangun-gardu-dan-jaringan-listrik-tegangan-150-kv-di-sulteng 
https://gatrik.esdm.go.id/assets/uploads/download_index/files/568bd-share-2020.02.05-kebutuhan-listrik-kek.pdf 
https://paluekspres.com/70875/pt-bpst-dan-pt-energy-china-teken-mou-pembangkit-listrik-tenaga-surya-di-kek-palu/#google_vignette"
Kawasan Industri Makassar (KIMA),,Kawasan Industri Makassar,,PT. KIMA,,,"https://madeinindonesia.com/images/minisite/itpc_uae/MAKASSAR-MAROS%20INDUSTRIAL%20ESTATE.pdf
https://www.adrianoplegroup.com/post/zone-profile-makassar-industrial-estate
https://kedai-berita.com/2023/05/20/aph-diminta-usut-aroma-korupsi-pemanfaatan-anggaran-pengelolaan-limbah-di-kima/
(Archived link, 11/27/23) https://web.archive.org/web/20231127172956/https://kemenperin.go.id/kawasan
http://ptkimamakassar.co.id/
https://sulawesi.bisnis.com/read/20231026/539/1708089/kawasan-industri-makassar-didorong-gaet-investor
https://ptkimamakassar.co.id/profile/"
Padang Industrial Park,Padang Industrial Park,,,PT. Padang Industrial Park,,,"https://www.fajarsumbar.com/2021/10/sumbar-siapkan-tim-selesaikan-persoalan.html
https://www.papuatimes.co.id/2021/07/06/presentase-saham-pemprov-sumbar-di-pt-padang-industrial-park-dipertanyakan/
(Archived link, 11/27/23) https://web.archive.org/web/20231127172956/https://kemenperin.go.id/kawasan
https://hariansinggalang.co.id/sumbar-berisiko-kehilangan-aset-108-hektare-tanah-pada-pt-pip/#google_vignette
https://regional.kontan.co.id/news/kota-industri-baru-akan-dibangun-di-padang
https://sumbar.antaranews.com/berita/546942/pln-gencarkan-program-electrifying-agriculture-dengan-jaminan-keandalan"
Indonesia Weda Bay Industrial Park (IWIP),,Indonesia Weda Bay Industrial Park,,PT. Indonesia Wedabay Industrial Park,Tsingshan,Eramet,"https://ejatlas.org/print/indonesia-weda-bay-industrial-park-iwip-north-maluku-indonesia
https://www.reuters.com/article/us-indonesia-nickel-idUSKBN22C1UK
https://www.rosalux.de/fileadmin/images/publikationen/Studien/Fast_and_Furious_for_Future.pdf
https://www.gem.wiki/Weda_Bay_power_station
https://www.mongabay.co.id/2023/03/08/cerita-perempuan-adat-tobelo-melawan-kala-hutan-rusak-jadi-tambang/
https://en.wikipedia.org/wiki/Weda_Bay_Industrial_Park
https://www.nsenergybusiness.com/projects/weda-bay-nickel-project/
https://www.eramet.com/en/group/the-success-story-of-weda-bay-nickel/
(Archived link, 5/25/24) https://web.archive.org/web/20240525094333/https://nickelmines.com.au/tsingshan-collaboration/indonesian-weda-bay-industrial-park-iwip/
(Archived link, 11/27/23) https://web.archive.org/web/20231127172956/https://kemenperin.go.id/kawasan
https://iwip.co.id/en/about-iwip/
(Archived link, 5/18/2024) https://web.archive.org/web/20240518022508/https://www.energytransitionpartnership.org/uploads/2022/09/The-Electricity-Infrastructure-Planning-and-Investment-Needs-to-Support-Energy-Transition.pdf
(Broken) https://www.fajarsumbar.com/2021/10/sumbar-siapkan-tim-selesaikan-persoalan.html
(Broken) https://www.fajarsumbar.com/2021/10/sumbar-siapkan-tim-selesaikan-persoalan.html
https://www.papuatimes.co.id/2021/07/06/presentase-saham-pemprov-sumbar-di-pt-padang-industrial-park-dipertanyakan/
https://www.vice.com/en/article/wxj8wm/uncontacted-tribe-threatened-indonesia"
